Date,Max.,Min.,Morn,Eve,Rain,Rainy Days ,PE,Year
,31.0,17.0,78.0,49.0,0.0,0.0,6.94,1996
,31.0,17.5,78.0,49.0,0.0,0.0,7.38,1996
,31.0,19.5,78.0,49.0,0.0,0.0,6.94,1996
,31.0,19.0,78.0,49.0,0.0,0.0,7.38,1996
,31.0,18.0,78.0,49.0,0.0,0.0,6.08,1996
,31.0,18.5,78.0,49.0,0.0,0.0,6.94,1996
,31.0,19.0,78.0,49.0,0.0,0.0,6.94,1996
,31.0,21.5,78.0,49.0,0.0,0.0,5.21,1996
,31.0,21.5,78.0,49.0,0.0,0.0,7.81,1996
,31.0,22.0,78.0,49.0,0.0,0.0,8.25,1996
,31.0,23.0,78.0,49.0,0.0,0.0,5.21,1996
,31.0,21.5,78.0,49.0,2.8,1.0,3.04,1996
,31.0,21.5,78.0,49.0,0.0,0.0,7.38,1996
,31.0,18.0,78.0,49.0,0.0,0.0,7.81,1996
,31.0,19.5,78.0,49.0,0.0,0.0,8.25,1996
,31.0,21.0,78.0,49.0,0.0,0.0,9.55,1996
,31.0,21.5,78.0,49.0,0.0,0.0,8.68,1996
,31.0,20.5,78.0,49.0,0.0,0.0,8.68,1996
,31.0,22.0,78.0,49.0,0.0,0.0,9.11,1996
,31.0,24.0,78.0,49.0,0.0,0.0,9.55,1996
,31.0,22.0,78.0,49.0,0.0,0.0,9.55,1996
,31.0,20.5,78.0,49.0,0.0,0.0,8.68,1996
,41.0,22.0,78.0,49.0,0.0,0.0,6.94,1996
,42.0,22.5,78.0,49.0,0.0,0.0,7.38,1996
,43.0,23.0,78.0,49.0,0.0,0.0,9.11,1996
,42.5,23.0,78.0,49.0,0.0,0.0,9.11,1996
,43.0,23.0,78.0,49.0,0.0,0.0,9.98,1996
,42.0,22.0,78.0,49.0,0.0,0.0,9.55,1996
,43.0,23.0,78.0,49.0,0.0,0.0,9.98,1996
,43.5,21.0,78.0,49.0,1.3,1.0,8.68,1996
,44.0,24.5,78.0,49.0,0.0,0.0,9.98,1996
,43.5,24.5,78.0,49.0,0.0,0.0,10.42,1996
,41.5,26.0,78.0,49.0,0.0,0.0,11.28,1996
,38.0,22.0,78.0,49.0,1.5,1.0,9.98,1996
,39.0,25.0,78.0,49.0,0.0,0.0,9.55,1996
,41.0,26.0,78.0,49.0,0.0,0.0,9.11,1996
,41.5,24.5,78.0,49.0,0.0,0.0,7.38,1996
,4.0,25.5,78.0,49.0,0.0,0.0,10.85,1996
,42.0,24.5,78.0,49.0,0.0,0.0,9.11,1996
,42.0,24.0,78.0,49.0,0.0,0.0,8.25,1996
,42.5,23.5,78.0,49.0,0.0,0.0,7.81,1996
,41.0,21.5,78.0,49.0,0.0,0.0,9.55,1996
,43.0,21.0,78.0,49.0,0.0,0.0,9.98,1996
,43.5,19.5,78.0,49.0,0.0,0.0,10.42,1996
,26.0,11.0,87.0,61.0,0.0,0.0,2.61,2009
,24.0,11.0,86.0,72.0,0.0,0.0,3.04,2009
,22.0,11.0,78.0,72.0,0.0,0.0,2.61,2009
,26.0,12.0,93.0,68.0,0.0,0.0,2.17,2009
,26.0,13.0,88.0,57.0,0.0,0.0,2.61,2009
,24.0,12.0,90.0,72.0,0.0,0.0,1.74,2009
,23.0,12.0,73.0,67.0,0.0,0.0,2.61,2009
,19.0,13.0,89.0,80.0,6.0,1.0,1.65,2009
,17.0,15.0,100.0,78.0,0.0,0.0,0.87,2009
,22.0,16.0,96.0,85.0,0.0,0.0,0.87,2009
,20.0,15.0,83.0,91.0,0.0,0.0,1.74,2009
,19.0,15.0,89.0,83.0,0.0,0.0,2.17,2009
,23.0,15.0,100.0,77.0,0.0,0.0,1.74,2009
,26.0,16.0,89.0,73.0,0.0,0.0,2.61,2009
,27.0,16.0,84.0,78.0,0.0,0.0,3.48,2009
,28.0,17.0,89.0,75.0,0.0,0.0,2.17,2009
,26.0,14.0,89.0,73.0,0.0,0.0,3.04,2009
,27.0,13.0,95.0,70.0,0.0,0.0,2.61,2009
,27.0,14.0,93.0,73.0,0.0,0.0,3.04,2009
,28.0,15.0,95.0,73.0,0.0,0.0,3.04,2009
,27.0,12.0,88.0,77.0,0.0,0.0,3.04,2009
,26.0,11.0,92.0,61.0,0.0,0.0,3.48,2009
,23.0,10.0,92.0,68.0,0.0,0.0,3.91,2009
,26.0,11.0,95.0,70.0,0.0,0.0,2.17,2009
,25.0,12.0,89.0,77.0,0.0,0.0,2.61,2009
,29.0,13.0,82.0,73.0,0.0,0.0,3.04,2009
,28.0,13.0,93.0,60.0,0.0,0.0,3.04,2009
,27.0,12.0,93.0,77.0,0.0,0.0,3.48,2009
,26.0,13.0,88.0,70.0,0.0,0.0,3.48,2009
,27.0,14.0,89.0,73.0,0.0,0.0,3.04,2009
,29.0,13.0,88.0,77.0,0.0,0.0,3.48,2009
,26.0,11.0,88.0,76.0,0.0,0.0,2.61,2009
,24.0,10.0,87.0,59.0,0.0,0.0,4.34,2009
,26.0,10.0,92.0,77.0,0.0,0.0,3.48,2009
,27.0,10.0,77.0,70.0,0.0,0.0,3.04,2009
,27.0,12.0,88.0,69.0,0.0,0.0,3.48,2009
,27.0,10.0,87.0,76.0,0.0,0.0,4.34,2009
,28.0,11.0,88.0,75.0,0.0,0.0,4.34,2009
,28.0,12.0,78.0,54.0,0.0,0.0,3.91,2009
,27.0,12.0,85.0,70.0,0.0,0.0,3.04,2009
,29.0,13.0,88.0,73.0,0.0,0.0,3.48,2009
,27.0,12.0,88.0,76.0,0.0,0.0,3.48,2009
,25.0,10.0,80.0,33.0,0.0,0.0,3.04,2009
,24.0,8.0,80.0,44.0,0.0,0.0,3.48,2009
,26.0,9.0,92.0,73.0,0.0,0.0,3.04,2009
,28.0,9.0,88.0,71.0,0.0,0.0,4.34,2009
,29.0,13.0,71.0,65.0,0.0,0.0,3.91,2009
,29.0,14.0,89.0,65.0,0.0,0.0,4.34,2009
,29.0,15.0,89.0,66.0,0.0,0.0,3.91,2009
,28.0,14.0,78.0,70.0,0.0,0.0,4.78,2009
,27.0,14.0,84.0,65.0,0.0,0.0,4.34,2009
,29.0,13.0,84.0,52.0,0.0,0.0,4.78,2009
,29.0,14.0,89.0,60.0,0.0,0.0,5.22,2009
,31.0,14.0,89.0,54.0,0.0,0.0,5.65,2009
,31.0,15.0,74.0,59.0,0.0,0.0,3.91,2009
,32.0,16.0,93.0,53.0,0.0,0.0,3.91,2009
,33.0,14.0,83.0,53.0,0.0,0.0,5.2,2009
,33.0,16.0,94.0,65.0,0.0,0.0,4.34,2009
,32.0,14.0,83.0,50.0,0.0,0.0,4.34,2009
,32.0,14.0,83.0,53.0,0.0,0.0,4.34,2009
,32.0,15.0,89.0,55.0,0.0,0.0,5.22,2009
,36.0,14.0,89.0,41.0,0.0,0.0,5.65,2009
,36.0,15.0,80.0,57.0,0.0,0.0,4.78,2009
,35.0,14.0,74.0,42.0,0.0,0.0,6.09,2009
,35.0,13.0,95.0,43.0,0.0,0.0,6.09,2009
,36.0,15.0,93.0,35.0,0.0,0.0,6.09,2009
,34.0,14.0,91.0,57.0,0.0,0.0,6.09,2009
,34.0,15.0,80.0,41.0,0.0,0.0,5.65,2009
,34.0,16.0,98.0,51.0,0.0,0.0,5.22,2009
,33.0,17.0,94.0,51.0,0.0,0.0,6.09,2009
,34.0,15.0,85.0,53.0,0.0,0.0,5.22,2009
,3.0,15.0,89.0,51.0,0.0,0.0,6.96,2009
,34.0,17.0,66.0,57.0,0.0,0.0,5.2,2009
,30.0,18.0,92.0,53.0,0.0,0.0,5.65,2009
,33.0,16.0,94.0,37.0,0.0,0.0,6.52,2009
,35.0,13.0,92.0,43.0,0.0,0.0,5.22,2009
