Date,Max.,Min.,RH%,RH%,Rain,ET
01.01.2001,19,9,98,81,0,1.3
02.01.2001,19,10,81,73,0,1.74
03.01.2001,21,12,88,75,0,1.74
04.01.2001,20,11,98,61,0,2.17
05.01.2001,21,8,91,56,0,3.04
06.01.2001,21,7,94,53,0,3.48
07.01.2001,22,9,72,60,0,3.48
08.01.2001,25,12,88,61,0,3.04
09.01.2001,24,9,79,48,0,3.48
10.01.2001,21,8,69,43,0,3.91
11.01.2001,22,9,82,56,0,3.48
12.01.2001,24,11,82,63,0,3.04
13.01.2001,28,11,88,48,0,3.91
14.01.2001,26,11,70,48,0,4.34
15.01.2001,24,10,59,53,0,4.34
16.01.2001,26,13,67,59,0,4.78
17.01.2001,24,13,77,63,0,3.91
18.01.2001,24,14,74,62,0,3.91
19.01.2001,27,14,72,59,0,3.48
20.01.2001,28,15,84,54,0,3.48
21.01.2001,29,14,89,53,0,3.48
22.01.2001,28,14,73,44,0,3.48
23.01.2001,26,10,83,44,0,3.91
24.01.2001,26,5,72,36,0,3.91
25.01.2001,22,5,85,44,0,3.04
26.01.2001,23,4,88,43,0,3.48
27.01.2001,23,5,79,43,0,4.34
28.01.2001,25,8,74,47,0,3.48
29.01.2001,25,10,77,52,0,3.04
30.01.2001,24,11,77,64,0,3.48
31.01.2001,30,12,84,46,0,3.48
01.02.2001,29,13,79,54,0,4.34
02.02.2001,27,16,64,47,0,4.78
03.02.2001,24,10,57,41,0,4.78
02.02.2001,23,10,67,42,0,5.21
05.02.2001,26,9,68,49,0,4.34
06.02.2001,27,9,65,48,0,4.34
07.02.2001,26,8,69,41,0,4.78
08.02.2001,27,8,79,37,0,4.34
09.02.2001,27,8,90,43,0,4.34
10.02.2001,27,9,87,47,0,4.78
11.02.2001,28,10,72,36,0,4.34
12.02.2001,28,10,69,39,0,5.21
13.02.2001,29,9,71,39,0,4.78
14.02.2001,29,10,76,43,0,3.48
15.02.2001,31,13,72,40,0,5.21
16.02.2001,27,9,74,40,0,3.91
17.02.2001,26,10,81,40,0,4.34
18.02.2001,29,11,84,39,0,5.21
19.02.2001,30,13,84,42,0,5.21
20.02.2001,28,12,84,40,0,4.78
21.02.2001,30,14,69,30,0,5.21
22.02.2001,30,10,65,28,0,5.21
23.02.2001,29,11,81,33,0,5.21
24.02.2001,31,12,80,33,0,6.95
25.02.2001,32,11,73,35,0,6.52
26.02.2001,31,14,80,39,0,6.08
27.02.2001,30,12,69,39,0,6.08
28.02.2001,30,14,61,42,0,7.82
Date,Max.,Min.,RH%,RH%,Rain,ET
01.01.2002,30.72296902,11.26300409,71.5207481,32.42255991,0,5.876808884
02.01.2002,30.87814144,11.28872005,71.32624196,31.91122151,0,5.933295733
03.01.2002,31.03331385,11.314436,71.13173583,31.39988311,0,5.989782583
04.01.2002,31.18848627,11.34015196,70.93722969,30.88854471,0,6.046269433
05.01.2002,31.34365868,11.36586791,70.74272355,30.37720631,0,6.102756283
06.01.2002,31.49883109,11.39158387,70.54821742,29.86586791,0,6.159243133
07.01.2002,31.65400351,11.41729982,70.35371128,29.35452951,0,6.215729982
08.01.2002,31.80917592,11.44301578,70.15920514,28.84319112,0,6.272216832
09.01.2002,31.96434833,11.46873174,69.96469901,28.33185272,0,6.328703682
10.01.2002,32.11952075,11.49444769,69.77019287,27.82051432,0,6.385190532
11.01.2002,32.27469316,11.52016365,69.57568673,27.30917592,0,6.441677382
12.01.2002,32.42986558,11.5458796,69.3811806,26.79783752,0,6.498164231
13.01.2002,32.58503799,11.57159556,69.18667446,26.28649912,0,6.554651081
14.01.2002,32.7402104,11.59731151,68.99216832,25.77516072,0,6.611137931
15.01.2002,32.89538282,11.62302747,68.79766219,25.26382233,0,6.667624781
16.01.2002,33.05055523,11.64874342,68.60315605,24.75248393,0,6.724111631
17.01.2002,33.20572764,11.67445938,68.40864991,24.24114553,0,6.78059848
18.03.2001,33,15,59,25,0,8.69
19.03.2001,35,15,48,29,0,8.26
20.03.2001,38,20,65,28,0,8.69
21.03.2001,37,21,57,25,0,9.56
22.03.2001,36,21,51,28,0,9.56
23.03.2001,35,21,45,28,0,10.43
