Date,Max.,Min.,Morn,Eve,Rain,Rainy Days ,PE
01.01.15,23.7,11.2,81,32,6.6,1,0.51
2.01.15,16.6,11,85,25,16.9,1,1.37
3.01.15,19.8,11.7,85,31,0.6,1,1.14
4.01.15,20,13.4,86,36,0,0,0.43
5.01.15,22.3,6,85,30,0,0,0.43
6.01.15,21.3,11.4,87,31,0,0,1.74
7.01.15,21,8.2,88,24,0,0,0.87
8.01.15,21.8,7.3,88,23,0,0,1.3
9.01.15,25.8,7,85,30,0,0,0.87
10.01.15,25,6.2,87,31,0,0,2.17
11.01.15,25,5.8,85,27,0,0,1.74
12.01.15,27.2,4.6,85,21,0,0,1.74
13.01.15,27.8,5,84,17,0,0,1.74
14.01.15,25.7,77.4,85,18,0,0,1.74
15.01.15,25.8,5.6,64,25,0,0,1.79
16.01.15,26,7,70,35,0,0,0.87
17.01.15,22.2,6.6,76,37,0,0,0.87
18.01.15,22.2,7.6,73,40,0,0,0.87
19.01.15,22.9,4.9,66,29,0,0,0.87
20.01.15,25.4,5.2,66,26,0,0,1.74
21.01.15,25.4,5.2,77,26,0,0,0.87
22.01.15,27.5,10.8,77,25,0,0,0.87
23.01.15,22.9,8.8,68,43,0,0,0.87
24.01.15,22.4,9,66,38,0,0,0.87
25.01.15,22.8,13,72,43,0,0,1.74
26.01.15,22.2,11.6,88,31,0,0,1.3
27.01.15,24,13,81,32,0,0,0.47
28.01.15,21.4,13,66,37,0.4,1,0.91
29.01.15,20.9,12.1,77,47,7,1,2.61
30.01.15,19.9,11.4,77,31,0,0,0.87
31.01.15,22.6,7,66,25,0,0,0.87
Average,27.8,4.6,88,17,31.5,5,1.2
1.02.15,24.5,5.6,66,25,0,0,0.87
2.02.15,28.9,7.8,70,21,0,0,1.74
3.02.15,21.1,10.8,92,20,0,0,0.87
4.02.15,30.7,12.2,88,20,0,0,1.3
5.02.15,30.7,12.2,86,36,0,0,0.87
6.02.15,26.3,11.2,77,23,0,0,1.74
7.02.15,28.1,12.5,77,24,0,0,1.3
8.02.15,30.5,13.6,76,18,0,0,1.74
9.02.15,26.4,12.6,,,0,0,1.74
10.02.15,26.4,12.6,,,0,0,1.74
11.02.15,24.5,11.8,,,12.4,1,0.65
12.02.15,26,12.4,,,0,0,1.3
13.02.15,29.2,12.8,,,0,0,1.74
14.02.15,28.9,10.9,,,0,0,1.74
15.02.15,29.2,8.6,,,0,0,2.17
16.02.15,28.5,9.6,,,0,0,2.17
17.02.15,30.8,10.6,,,0,0,2.61
18.02.15,29.2,12.8,,,0,0,2.61
19.02.15,31.7,11.4,,,0,0,2.61
20.02.15,33.3,11.4,,,0,0,2.61
21.02.15,32.3,12.6,,,0,0,3.48
22.02.15,32,12,,,0,0,3.48
23.02.15,32,12,,,0,0,3.48
24.02.15,33.7,13.6,,,0,0,3.04
25.02.15,33.8,13.8,,,0,0,3.48
26.02.15,32.8,14.2,,,0,0,3.91
27.02.15,32,14,,,0,0,3.48
28.02.15,30.5,13.8,,,0,0,3.04
Average,33.8,5.6,92,18,12.4,1,2.12
1.03.15,29.8,13.2,,,8.4,1,0.57
2.03.15,17.7,15.2,,,15.2,1,0.84
3.03.15,25.2,15.4,,,0,0,2.61
4.03.15,14.5,25.5,,,0,0,3.48
05.03.15,27.6,12,,,0,0,3.48
6.03.15,29.2,13.4,,,0,0,2.61
7.03.15,32.2,15.6,,,0,0,1.74
8.03.15,32.2,16.4,,,0,0,3.48
9.03.15,31.6,15.6,,,0,0,2.61
10.03.15,32.5,16.6,,,0,0,3.48
11.03.15,29.6,16.4,,,167.5,1,3.48
12.03.15,32.5,17.6,,,4.3,1,4
13.03.15,28.4,20.4,,,0,0,1.74
14.03.15,18.1,14.4,,,0,0,3.65
15.03.15,26.1,13.4,,,0,0,5.39
16.03.15,25,16,,,0,0,1.74
17.03.15,18.11,16.4,,,0,0,3.48
18.03.15,32.2,16.4,,,0,0,3.48
19.03.15,32,17.6,,,0,0,5.22
20.03.15,31.2,14.8,,,0,0,5.22
21.03.15,33,17.4,,,0,0,5.22
22.03.15,35.5,17.8,,,0,0,5.22
23.03.15,38.1,18.8,,,0,0,5.22
24.03.15,38.3,19.5,,,0,0,6.09
25.03.15,36.6,18.3,68,19,0,0,
26.03.15,36.8,17,75,17,0,0,
27.03.15,37.4,17.2,90,17,0,0,
28.03.15,37.8,17.5,81,16,0,0,
29.03.15,35.8,21.6,81,23,0,0,
30.03.15,34.3,18.2,99,22,0,0,
31.03.15,35.3,18.1,91,16,0,0,
Average,38.3,12,99,16,195.4,4,2.71
1.04.15,36.7,18.3,57,7,0,0,
2.04.15,36.2,18.1,50,16,0,0,
3.04.15,36.5,19.5,54,18,0,0,
4.04.15,34.8,18.9,57,21,0,0,
5.04.15,33.8,21.2,61,28,0,0,
6.04.15,35.5,20.6,59,18,0,0,
7.04.15,36.4,20,59,16,0,0,
8.04.15,37.1,20.5,58,19,0,0,
9.04.15,37.1,19.4,56,18,0,0,
10.04.15,37.5,19,59,20,0,0,
11.04.15,35.5,20.3,80,28,0,0,
12.04.15,31.5,18.1,99,31,0,0,
13.04.15,28,18.4,99,41,1,1,
14.04.15,30.3,18.6,99,36,0,0,
15.04.15,29.9,18.4,99,37,0,0,
16.04.15,33.6,18.3,99,29,0.5,1,
17.04.15,37.3,20.1,87,18,0,0,
18.04.15,40.1,23,62,15,0,0,
19.04.15,40.8,22,65,12,0,0,
20.04.15,41.2,23.4,54,11,0,0,
21.04.15,40.9,22.5,57,11,0,0,
22.04.15,40.1,25.6,37,11,0,0,
23.04.15,39.1,20.5,35,12,0,0,
24.04.15,39.3,21.9,35,10,0,0,
25.04.15,39.4,24.1,32,10,0,0,
26.04.15,39.5,21.8,41,14,0,0,
27.04.15,41.2,24.9,46,12,0,0,
28.04.15,41.8,23.3,41,8,0,0,
29.04.15,40.3,24.5,44,12,0,0,
30.04.15,40.4,22.8,43,14,0,0,
Average,41.8,18.1,99,7,1.5,2,0
1.05.15,40.4,22.1,37,9,0,0,
2.05.15,40.7,21.1,44,10,0,0,
3.05.15,40.8,23.9,40,9,0,0,
4.05.15,40.4,24,41,12,0,0,
5.05.15,39.9,23.4,43,10,0,0,
6.05.15,41.1,25.4,31,8,0,0,
7.05.15,41.4,23.6,36,8,0,0,
8.05.15,42.5,27.5,23,8,0,0,
9.05.15,42.1,27.4,32,10,0,0,
10.05.15,39.5,25,43,14,0,0,
11.05.15,40.2,25.9,48,14,0,0,
12.05.15,39.1,27.5,45,16,0,0,
13.05.15,39.7,24.3,85,20,0,0,
14.05.15,34.4,24.4,86,33,0,0,
