Date,Max.,Min.,Morn,Eve,Rain,Rainy Days ,PE
15.05.15,37.3,25.6,69,27,0,0,
16.05.15,40.5,25.5,64,14,0,0,
17.05.15,43.4,28.5,40,9,0,0,
18.05.15,44.2,26.8,32,9,0,0,
19.05.15,44.9,27.9,44,9,0,0,
20.05.15,44.3,27.3,50,8,0,0,
21.05.15,42.9,29.5,35,13,0,0,
22.05.15,43.1,28.5,41,11,0,0,
23.05.15,40.9,26.5,50,10,0,0,
24.05.15,41.4,29.9,61,17,0,0,
25.05.15,40.3,29.4,59,23,0,0,
26.05.15,42.4,29.5,57,14,0,0,
27.05.15,41.2,27.3,53,21,0,0,
28.05.15,42,26.7,50,18,0,0,
29.05.15,42.8,30.2,41,13,0,0,
30.05.15,43.6,29.5,26,11,0,0,
31.05.15,43,29.3,36,12,0,0,
Average,44.9,18.1,86,8,0,0,0
1.06.15,40.9,28.9,41,16,0,0,
2.06.15,39.2,28.4,43,18,0,0,
3.06.15,40,27.5,44,17,0,0,
4.06.15,40,27.4,44,16,0,0,
5.06.15,39.8,29.4,31,17,0,0,
6.06.15,41.1,31.4,34,13,0,0,
7.06.15,41.2,29.8,52,14,0,0,
8.06.15,40.3,29.2,56,24,0,0,
9.06.15,38,29.2,56,30,0,0,
10.06.15,39.8,26,86,27,0,0,
11.06.15,37,26.1,94,35,0,0,
12.06.15,36.9,25.5,89,35,0,0,
13.06.15,34.3,25,92,44,0.5,11,
14.06.15,33.4,24.9,91,46,0.5,1,
15.06.15,33.9,25.3,89,47,3,1,
16.06.15,34.7,25.3,86,50,0,0,
17.06.15,37.2,24,99,36,0.5,1,
18.06.15,35.4,24.6,99,44,0.5,1,
19.06.15,35.7,24.7,92,40,0,0,
20.06.15,37.1,24.3,96,39,4,1,
21.06.15,34.4,22.8,99,58,2,1,
22.06.15,29.7,22.8,99,99,2.5,1,
23.06.15,32.1,23,99,81,2.5,1,
24.06.15,31.7,25.7,99,78,2.5,1,
25.06.15,30.8,24.9,99,96,0.5,1,
26.06.15,33.3,24.6,99,50,0,0,
27.06.15,34,25.2,99,48,6,1,
28.06.15,35.3,25.9,99,69,9,1,
29.06.15,35.6,26.4,99,51,0,0,
30.06.15,34.2,26.1,99,54,0,0,
Average,41.2,22.8,99,13,34,23,0
1.07.15,35,25.7,99,49,0,0,
2.07.15,34.7,25.6,99,44,0,0,
3.07.15,34.3,26.5,71,39,0,0,
4.07.15,35.4,26.8,73,38,0,0,
5.07.15,34.2,26.8,76,41,0,0,
6.07.15,31.9,26.6,74,50,0,0,
7.07.15,33.6,26.9,74,47,0,0,
8.07.15,34.3,26.8,77,48,0,0,
9.07.15,30.9,24.8,99,59,5.5,1,
10.07.15,31.6,25.6,99,99,1,1,
11.07.15,27.1,24.9,99,99,1,1,
12.07.15,32.4,24.8,99,99,1.5,1,
13.07.15,34.4,25.4,99,99,1.5,1,
14.07.15,35.4,25.6,99,71,1.5,1,
15.07.15,35.1,25.8,99,99,0,0,
16.07.15,33.4,26.3,99,75,0,0,
17.07.15,32.7,24.3,99,99,0.5,1,
18.07.15,27.6,24,99,99,23.5,1,
19.07.15,24.1,23,99,99,106.5,1,
20.07.15,25.9,23.3,99,99,38.5,1,
21.07.15,31.2,24.5,99,99,2,1,
22.07.15,29.7,25.3,99,99,2,1,
23.07.15,28.9,22.7,99,99,2.5,1,
24.07.15,28.4,23.1,99,99,2.5,1,
25.07.15,26.1,23.4,99,87,2.5,1,
26.07.15,27.9,23.1,99,99,2,1,
27.07.15,27.3,22.5,99,99,2.5,1,
28.07.15,30.4,22.5,99,99,3,1,
29.07.15,28.4,22.9,99,99,3,1,
30.07.15,28.9,23.5,99,99,2,1,
31.07.15,30.6,23,99,99,2,1,
Average,35.4,22.5,99,38,207,21,0
01.08.15,30.5,23.8,99,99,1,1,
02.08.15,28.4,24.1,99,99,2,1,
03.08.15,28.4,23.4,99,99,1.5,1,
04.08.15,28.9,23.3,99,99,2,1,
05.08.15,28.6,23.7,99,99,2,1,
06.08.15,28.5,24.2,99,99,2,1,
07.08.15,29.7,24.5,99,99,2,1,
08.08.15,27.3,24.8,99,99,1.5,1,
09.08.15,31.7,24.9,99,99,2,1,
10.08.15,30.1,24.8,99,99,1.5,1,
11.08.15,29.5,24.5,99,99,2,1,
12.08.15,30.5,24.6,99,99,2,1,
13.08.15,27.3,24.7,99,99,1.5,1,
14.08.15,28.4,24.4,99,99,2,1,
15.08.15,28,24.3,99,99,2,1,
16.08.15,29.6,24.3,99,99,2,1,
17.08.15,29.1,24.3,99,99,2,1,
18.08.15,25.7,23.6,99,99,1.5,1,
19.08.15,31.1,24,99,99,2,1,
20.08.15,30.4,24.3,99,99,2,1,
21.08.15,30.4,24.3,99,68,1.5,1,
22.08.15,29.2,23.3,99,99,1.5,1,
23.08.15,31.1,23.4,99,83,1.5,1,
24.08.15,31.4,23.3,99,99,1.5,1,
25.08.15,31,23.3,99,65,2,1,
26.08.15,32.3,24,99,57,1.5,1,
27.08.15,31.4,23.7,99,91,1.5,1,
28.08.15,29.2,23.9,99,85,2,1,
29.08.15,31.1,24.4,99,72,1.5,1,
30.08.15,30.9,24.1,99,74,2,1,
31.08.15,28.3,24.2,99,99,1.5,1,
Average,32.3,23.3,99,57,54.5,31,0
