Date,Max.,Min.,Morn,Eve,Rain,PE
01.01.2000,25,10,72,35,0,2.61
02.01.2000,25,10,78,42,0,3.48
03.01.2000,24,8,77,28,0,3.48
04.01.2000,24,7,74,29,0,3.48
05.01.2000,24,8,74,32,0,3.48
06.01.2000,23,8,79,37,0,3.48
07.01.2000,24.4,8,77,36,0,2.61
08.01.2000,24,9,76,36,0,2.61
09.01.2000,26,10,76,33,0,3.48
10.01.2000,26,10,76,33,0,3.48
11.01.2000,28,11,76,39,0,3.04
12.01.2000,29,13,79,42,0,2.61
13.01.2000,28,14,89,44,0,3.04
14.01.2000,26,11,82,51,0,2.61
15.01.2000,25,13,83,64,0,3.48
16.01.2000,23,11,76,52,0,3.91
17.01.2000,20,11,65,51,0,3.48
18.01.2000,20,11,63,40,0,2.61
19.01.2000,27,10,88,40,0,2.61
20.01.2000,27,11,88,33,0,2.61
21.01.2000,26,10,75,35,0,3.48
22.01.2000,27,10,73,51,0,3.04
23.01.2000,25,12,78,51,0,2.61
24.01.2000,27,12,82,40,0,3.48
25.01.2000,25,10,79,39,0,3.48
26.01.2000,26,12,71,39,0,3.48
27.01.2000,29,14,76,49,0,3.48
28.01.2000,26,12,83,44,0,2.61
29.01.2000,23,7,75,46,0,3.04
30.01.2000,23,7,87,34,0,2.61
31.01.2000,26,9,70,43,0,3.04
01.02.2000,28,13,75,36,0,3.91
02.02.2000,26,12,68,44,0,3.04
03.02.2000,26,11,71,42,0,3.48
02.02.2000,26,13,82,43,0,3.48
05.02.2000,27,12,86,47,0,3.48
06.02.2000,25,11,77,38,0,3.48
07.02.2000,23,11,74,44,0,3.48
08.02.2000,22,9,78,43,0,3.48
09.02.2000,24,10,80,39,0,3.48
10.02.2000,24,9,74,37,0,3.48
11.02.2000,27,12,77,42,0,3.91
12.02.2000,24,10,81,43,0,3.48
13.02.2000,23,11,73,47,0,3.48
14.02.2000,22,11,61,42,0,4.34
15.02.2000,21,10,64,39,0,3.48
16.02.2000,23,13,71,55,0,4.34
17.02.2000,27,11,62,33,0,3.48
18.02.2000,28,8,71,32,0,3.48
19.02.2000,27,9,50,38,0,4.34
20.02.2000,27,11,54,37,0,3.91
21.02.2000,26,14,79,54,0,3.48
22.02.2000,27,13,69,48,0,4.34
23.02.2000,28,17,61,100,0,1.5
24.02.2000,16,13,84,42,0.2,2.61
25.02.2000,22,12,77,37,0,4.34
26.02.2000,25,12,68,29,0,5.21
27.02.2000,26,9,59,31,0,4.34
28.02.2000,28,9,74,32,0,4.34
29.02.2000,30,11,75,35,0,4.34
01.03.2000,31,14,78,35,0,5.21
02.03.2000,31,14,69,36,0,6.08
03.03.2000,32,14,65,28,0,6.08
04.03.2000,31,13,62,23,0,5.21
05.03.2000,31,12,62,32,0,5.21
06.03.2000,30,13,57,31,0,6.08
07.03.2000,32,14,60,32,0,4.34
08.03.2000,28,15,59,34,0,4.34
09.03.2000,28,11,61,33,0,4.34
10.03.2000,28,10,60,31,0,4.78
11.03.2000,31,13,58,33,0,5.21
12.03.2000,32,16,63,32,0,6.08
13.03.2000,31,16,59,33,0,6.08
14.03.2000,29,13,54,24,0,5.21
15.03.2000,30,13,51,26,0,5.21
16.03.2000,29,12,53,17,0,6.08
17.03.2000,32,14,62,24,0,5.65
18.03.2000,31,17,56,19,0,6.08
19.03.2000,33,14,44,17,0,5.21
20.03.2000,32,12,47,16,0,6.08
21.03.2000,30,13,45,19,0,5.21
22.03.2000,34,15,56,23,0,6.08
23.03.2000,34,14,50,31,0,5.21
24.03.2000,31,14,42,21,0,6.08
25.03.2000,32,13,46,19,0,6.08
26.03.2000,31,13,42,20,0,6.52
27.03.2000,32,14,42,16,0,6.95
28.03.2000,336,14,36,15,0,7.82
29.03.2000,34,16,31,136,0,6.95
