Date,Max.,Min.,Morn,Eve,Rain,Rainy Days ,PE,cloud cover
01.01.13,28.2,16.1,77,56,0,0,1.74,3
2.01.13,27.6,16.2,79,62,0,0,0.87,2
3.01.13,26.6,15,76,57,0,0,3.04,1
4.01.13,21.3,5.8,84,46,0,0,0.87,1
5.01.13,21.9,6.1,88,36,0,0,0.43,1
6.01.13,20.8,5.8,80,31,0,0,3.04,1
7.01.13,20.5,4.3,72,46,0,0,2.61,1
8.01.13,18.9,5.1,66,31,0,0,1.74,0
9.01.13,19.8,4.3,86,23,0,0,1.74,0
10.01.13,22.5,7.2,86,23,0,0,1.74,0
11.01.13,21.5,6.2,84,25,0,0,2.61,0
12.01.13,27,8.8,86,55,0,0,2.61,1
13.01.13,26.5,9.2,92,62,0,0,1.74,0
14.01.13,27.6,10.2,90,52,0,0,2.61,1
15.01.13,28.1,10.5,76,53,0,0,2.17,0
16.01.13,29,13.6,77,56,0,0,1.74,0
17.01.13,29.6,14.6,86,63,0,0,0.87,0
18.01.13,31.4,15.6,87,62,0,0,0.87,1
19.01.13,24.8,17.4,81,60,0,0,1.74,0
20.01.13,22.6,11.2,74,63,0,0,2.61,0
21.01.13,21.6,10,75,62,0,0,1.74,0
22.01.13,23,7.2,84,32,0,0,3.48,8
23.01.13,20.2,10.1,85,49,2.2,1,1.91,5
24.01.13,18.8,11.2,69,23,0,0,2.61,0
25.01.13,21.3,13,71,61,0,0,0.87,0
26.01.13,22.4,10,81,59,0,0,2.61,1
27.01.13,24.6,10,67,58,2.8,0,2.61,0
28.01.13,21.7,7.6,84,45,0,0,3.48,0
29.01.13,25.2,10.8,85,46,0,0,3.48,0
30.01.13,26.3,8.6,84,47,0,0,3.48,4
31.01.13,26.7,10,86,42,0,0,3.04,4
Average,31.4,4.3,92,23,5,1,2.15,1.13
1.02.13,24.1,13.2,75,54,0,0,3.48,3
2.02.13,23.3,14.4,89,66,0,0,0.87,1
3.02.13,26,15,87,60,0,0,3.48,2
4.02.13,28.1,13.8,76,55,0,0,2.61,0
5.02.13,31.3,17.6,96,66,0,0,1.74,0
6.02.13,28.5,19,88,56,0,0,3.48,1
7.02.13,29.5,19,76,45,0,0,3.48,0
8.02.13,24,15.8,87,54,1.2,1,0.87,5
9.02.13,26,17,76,60,0,0,3.48,0
10.02.13,29.5,19,89,56,0,0,4.34,0
11.02.13,25,13.3,96,57,0,0,3.41,0
12.02.13,32.5,15.6,87,69,8.4,1,4.05,7
13.02.13,26.5,17,88,45,16.6,1,7.9,8
14.02.13,27.5,17,91,66,0,0,2.61,4
15.02.13,20,18.6,75,52,20,1,1.73,7
16.02.13,26.1,18,73,53,12.6,1,0.43,8
17.02.13,24.5,15.8,88,45,0,0,2.61,4
18.02.13,23.3,13.8,87,55,0,0,1.74,4
19.02.13,24.8,12,75,61,0,0,2.61,2
20.02.13,27.2,12.8,92,55,0,0,3.48,1
21.02.13,28.2,13.8,87,54,0,0,2.17,0
22.02.13,25.8,14.4,89,66,0,0,3.48,1
23.02.13,31.3,16.8,91,45,0,0,4.34,0
24.02.13,29,15.6,92,68,0,0,3.91,1
25.02.13,28,16.8,86,54,0,0,2.61,0
26.02.13,28.3,15.8,77,66,0,0,5.22,1
27.02.13,31.5,16,84,46,0,0,2.61,2
28.02.13,32.7,17.6,68,44,0,0,3.91,1
Average,32.7,12,96,44,58.8,5,2.99,2.17
1.03.13,31.9,14.6,75,62,0,0,6.09,0
2.03.13,28.9,15.4,77,44,0,0,4.34,1
3.03.13,31,12.5,76,54,0,0,4.34,0
4.03.13,31.5,13,78,60,0,0,5.22,0
05.03.13,32.9,13.4,80,42,0,0,5.22,1
6.03.13,33.1,15.8,82,44,0,0,5.22,0
7.03.13,32,14.8,56,36,0,0,6.09,1
8.03.13,32.5,13.7,45,32,0,0,4.34,0
9.03.13,33.5,15.7,66,18,0,0,4.34,1
10.03.13,32.8,16.5,54,31,0,0,4.34,0
11.03.13,35.2,15.6,68,19,0,0,4.34,1
12.03.13,34.9,15.7,62,25,0,0,6.96,0
13.03.13,35.5,17.8,66,31,0,0,8.69,1
14.03.13,35,17.4,56,26,0,0,3.48,3
15.03.13,34.1,18.3,71,36,0,0,5.22,4
16.03.13,31.1,19.2,76,45,5.4,1,4.69,7
17.03.13,28.9,17.6,77,43,0,0,4.34,4
18.03.13,31.9,15.6,63,41,0,0,4.34,2
19.03.13,32.2,17.6,64,31,0,0,5.22,1
20.03.13,34.3,17.2,62,32,0,0,6.09,0
21.03.13,36.5,18.3,62,26,0,0,3.48,0
22.03.13,36.5,18.2,61,23,0,0,6.96,2
23.03.13,36.7,16.8,60,22,0,0,6.96,1
24.03.13,37.7,20,58,26,0,0,6.09,0
25.03.13,37.4,21.4,79,44,0,0,4.34,0
26.03.13,38,20.2,61,36,0,0,6.96,1
27.03.13,36.2,1.6,73,43,0,0,8.69,0
28.03.13,37,22.5,63,35,0,0,7.83,0
29.03.13,37.2,21.8,64,40,0,0,6.09,0
30.03.13,33.9,20.8,74,42,0,0,6.09,1
31.03.13,36,19,64,34,0,0,7.83,1
Average,38,1.6,82,18,5.4,1,5.62,1.06
1.04.13,36.7,19.6,57,43,0,0,8.69,0
2.04.13,35.5,24.7,68,40,0,0,6.96,4
3.04.13,35.5,24.7,54,38,4.2,1,5.22,4
4.04.13,35,21.3,66,39,0,0,6.96,3
5.04.13,37.1,17.6,50,28,0,0,8.69,0
6.04.13,38.7,18.2,48,26,0,0,10.44,0
7.04.13,39.4,18.8,44,23,0,0,9.57,1
8.04.13,40.7,18.6,42,21,0,0,10.87,1
9.04.13,40,20.2,40,23,0,0,12.61,0
10.04.13,40.5,21.7,36,22,0,0,13.9,0
11.04.13,40.2,21.6,38,23,0,0,13.48,0
12.04.13,39.7,24.9,39,26,0,0,14.34,0
13.04.13,39.6,22.4,38,27,0,0,14.77,0
14.04.13,39.5,21.6,37,24,0,0,13.9,0
15.04.13,39.4,22.8,38,26,0,0,12.17,0
16.04.13,39.6,23.7,36,23,0,0,10.87,1
17.04.13,39.7,23.6,28,18,0,0,14.77,0
18.04.13,39.6,22.8,26,17,0,0,10.44,1
19.04.13,38.2,22,64,30,0,0,5.22,0
20.04.13,35.7,20.5,57,25,7.6,1,6.61,3
21.04.13,37.7,21.6,46,17,0,0,8.69,1
22.04.13,36.4,19.6,43,15,0,0,10.43,1
23.04.13,37,20.8,41,18,0,0,13.03,1
24.04.13,38,24.2,42,20,0,0,15.21,2
25.04.13,40.7,23,55,23,0,0,13.64,
26.04.13,40.6,23.7,62,18,0,0,13.03,
27.04.13,41.7,25.1,51,16,0,0,13.21,
28.04.13,40,25.7,42,15,0,0,16.51,
29.04.13,42.5,26.6,43,19,0,0,18.25,
30.04.13,40,27.7,42,16,0,0,17.38,
Average,42.5,17.6,68,15,11.8,2,11.66,0.9
1.05.13,43.5,24.7,40,15,0,0,16.51,
2.05.13,43.2,28.8,43,17,0,0,18.25,
3.05.13,42.5,23.2,55,20,0,0,18.25,
4.05.13,41.5,22.1,51,16,0,0,15.64,
5.05.13,43.7,23.5,42,20,0,0,18.25,
6.05.13,42.4,26.7,40,15,0,0,16.51,
7.05.13,41.5,24.5,41,16,0,0,13.03,
8.05.13,43.1,26,43,17,0,0,13.9,
9.05.13,43.5,26.2,41,18,0,0,15.21,
10.05.13,42.5,25.4,40,15,0,0,15.64,
11.05.13,42.5,22.2,51,18,0,0,16.51,
12.05.13,43.6,24.5,43,15,0,0,17.38,
13.05.13,44.5,26,42,16,0,0,15.64,
14.05.13,43.7,24.5,44,15,0,0,15.21,
15.05.13,42.2,24.1,51,16,0,0,16.51,
16.05.13,43.5,24.6,41,14,0,0,18.25,
17.05.13,43.5,26.4,44,13,0,0,16.51,
18.05.13,43.7,26.2,43,15,0,0,16.51,
19.05.13,46.5,27.5,40,14,0,0,17.38,
20.05.13,46.2,26.8,51,16,0,0,15.21,
21.05.13,44.5,28.5,39,13,0,0,15.64,
22.05.13,45.9,27.7,41,14,0,0,16.51,
23.05.13,44.9,28.5,60,16,0,0,19.55,
24.05.13,43.2,25.7,40,14,0,0,18.25,
25.05.13,42.5,24.9,41,14,0,0,16.51,
26.05.13,43.7,26.5,43,13,0,0,15.64,
27.05.13,42.2,28,52,16,0,0,18.25,
28.05.13,41.6,27.6,44,15,0,0,19.98,
29.05.13,42.3,28.2,60,16,4.6,1,15.64,
30.05.13,43.4,27.6,51,18,0,0,15.21,
31.05.13,42.7,27,43,16,0,0,17.38,
Average,46.5,17.6,60,13,4.6,1,16.61,0
1.06.13,42.4,25.8,61,16,0,0,15.64,
2.06.13,43.7,26.7,52,18,6.4,1,17.38,
3.06.13,41.3,24,45,19,0,0,16.51,
4.06.13,42.1,26.8,42,20,0,0,18.25,
5.06.13,39.5,27.6,68,21,0,0,3.26,
6.06.13,40.7,23.4,60,20,7.6,1,13.03,
7.06.13,36.6,22.6,42,23,0,0,13.9,
8.06.13,39.5,27.6,68,21,6.6,1,16.51,
9.06.13,40.7,23.4,42,20,0,0,15.64,
10.06.13,33.3,22.4,60,23,7.6,1,0.65,
11.06.13,36.6,22.6,52,24,0,0,17.38,
12.06.13,32.3,22.4,68,26,0,0,13.03,
13.06.13,33.8,22.6,62,23,12.6,1,7.6,
14.06.13,32.8,22,72,21,36.6,1,3.86,
15.06.13,29,23,68,25,24.2,1,3.64,
16.06.13,28.5,24,70,27,20.8,1,3.64,
17.06.13,27,22,76,26,10.6,1,3.65,
18.06.13,31,25,82,43,11.6,1,1.6,
19.06.13,30.2,24.6,91,66,0,0,13.9,
20.06.13,30.7,24.2,87,58,0,0,15.21,
21.06.13,34.4,24.4,72,41,0,0,3.48,
22.06.13,32,25,75,55,4.6,1,9.82,
23.06.13,33,24,78,62,0,0,6.22,
24.06.13,27.5,23.7,92,68,11.2,1,5.11,
