Date,Max.,Min.,Morn,Eve,Rain,Rainy Days ,PE
01.01.09,26,11,87,61,0,0,2.61
02.01.09,24,11,86,72,0,0,3.04
3.01.09,22,11,78,72,0,0,2.61
4.01.09,26,12,93,68,0,0,2.17
5.01.09,26,13,88,57,0,0,2.61
6.01.09,24,12,90,72,0,0,1.74
7.01.09,23,12,73,67,0,0,2.61
8.01.09,19,13,89,80,6,1,1.65
9.01.09,17,15,100,78,0,0,0.87
10.01.09,22,16,96,85,0,0,0.87
11.01.09,20,15,83,91,0,0,1.74
12.01.09,19,15,89,83,0,0,2.17
13.01.09,23,15,100,77,0,0,1.74
14.01.09,26,16,89,73,0,0,2.61
15.01.09,27,16,84,78,0,0,3.48
16.01.09,28,17,89,75,0,0,2.17
17.01.09,26,14,89,73,0,0,3.04
18.01.09,27,13,95,70,0,0,2.61
19.01.09,27,14,93,73,0,0,3.04
20.01.09,28,15,95,73,0,0,3.04
21.01.09,27,12,88,77,0,0,3.04
22.01.09,26,11,92,61,0,0,3.48
23.01.09,23,10,92,68,0,0,3.91
24.01.09,26,11,95,70,0,0,2.17
25.01.09,25,12,89,77,0,0,2.61
26.01.09,29,13,82,73,0,0,3.04
27.01.09,28,13,93,60,0,0,3.04
28.01.09,27,12,93,77,0,0,3.48
29.01.09,26,13,88,70,0,0,3.48
30.01.09,27,14,89,73,0,0,3.04
31.01.09,29,13,88,77,0,0,3.48
Average,29,10,100,57,6,1,2.62
1.02.09,26,11,88,76,0,0,2.61
2.02.09,24,10,87,59,0,0,4.34
3.02.09,26,10,92,77,0,0,3.48
4.02.09,27,10,77,70,0,0,3.04
5.02.09,27,12,88,69,0,0,3.48
6.02.09,27,10,87,76,0,0,4.34
7.02.09,28,11,88,75,0,0,4.34
8.02.09,28,12,78,54,0,0,3.91
9.02.09,27,12,85,70,0,0,3.04
10.02.09,29,13,88,73,0,0,3.48
11.02.09,27,12,88,76,0,0,3.48
12.02.09,25,10,80,33,0,0,3.04
13.02.09,24,8,80,44,0,0,3.48
14.02.09,26,9,92,73,0,0,3.04
15.02.09,28,9,88,71,0,0,4.34
16.02.09,29,13,71,65,0,0,3.91
17.02.09,29,14,89,65,0,0,4.34
18.02.09,29,15,89,66,0,0,3.91
19.02.09,28,14,78,70,0,0,4.78
20.02.09,27,14,84,65,0,0,4.34
21.02.09,29,13,84,52,0,0,4.78
22.02.09,29,14,89,60,0,0,5.22
23.02.09,31,14,89,54,0,0,5.65
24.02.09,31,15,74,59,0,0,3.91
25.02.09,32,16,93,53,0,0,3.91
26.02.09,33,14,83,53,0,0,5.2
27.02.09,33,16,94,65,0,0,4.34
28.02.09,32,14,83,50,0,0,4.34
