Date,Max.,Min.,Morn,Eve,Rain,Rainy Days ,PE
Average,33,8,94,33,0,0,4
1.03.09,32,14,83,53,0,0,4.34
2.03.09,32,15,89,55,0,0,5.22
3.03.09,36,14,89,41,0,0,5.65
4.03.09,36,15,80,57,0,0,4.78
5.03.09,35,14,74,42,0,0,6.09
6.03.09,35,13,95,43,0,0,6.09
7.03.09,36,15,93,35,0,0,6.09
8.03.09,34,14,91,57,0,0,6.09
9.03.09,34,15,80,41,0,0,5.65
10.03.09,34,16,98,51,0,0,5.22
11.03.09,33,17,94,51,0,0,6.09
12.03.09,34,15,85,53,0,0,5.22
13.03.09,3,15,89,51,0,0,6.96
14.03.09,34,17,66,57,0,0,5.2
15.03.09,30,18,92,53,0,0,5.65
16.03.09,33,16,94,37,0,0,6.52
17.03.09,35,13,92,43,0,0,5.22
18.03.09,35,15,83,47,0,0,6.96
19.03.09,37,17,65,43,0,0,7.39
20.03.09,36,19,91,42,0,0,7.83
21.03.09,36,19,96,51,0,0,8.26
22.03.09,34,18,90,57,0,0,8.69
23.03.09,34,19,91,43,0,0,6.96
24.03.09,36,19,75,42,0,0,7.83
25.03.09,36,17,90,41,0,0,6.96
26.03.09,37,17,70,47,0,0,7.39
27.03.09,36,17,66,23,0,0,8.26
28.03.09,37,18,51,27,0,0,8.69
29.03.09,37,19,50,26,0,0,10.43
30.03.09,38,20,69,32,0,0,8.26
31.03.09,38,19,74,,0,0,8.26
Average,38,13,98,23,0,0,6.72
1.04.09,37,18,70,39,0,0,8.96
2.04.09,39,20,62,32,0,0,9.56
3.04.09,39,19,57,39,0,0,7.83
4.04.09,39,21,47,35,0,0,8.69
5.04.09,39,18,69,29,0,0,10.43
6.04.09,37,19,53,39,0,0,6.96
7.04.09,38,18,75,51,2.1,1,7.39
8.04.09,34,19,61,46,0,0,6.09
9.04.09,36,17,76,39,0,0,7.39
10.04.09,35,20,62,28,0,0,8.69
11.04.09,36,17,57,34,0,0,9.56
12.04.09,37,17,45,29,0,0,9.99
13.04.09,39,19,44,26,0,0,9.56
14.04.09,40,19,34,28,0,0,8.69
15.04.09,41,23,65,30,0,0,10.43
16.04.09,41,25,69,33,0,0,10.43
17.04.09,42,24,76,29,0,0,11.73
18.04.09,39,22,83,35,0,0,10.43
19.04.09,40,19,52,38,0,0,11.3
20.04.09,41,21,64,17,0,0,10.86
21.04.09,42,24,73,25,0,0,11.73
22.04.09,41,24,71,28,0,0,10.86
23.04.09,42,20,67,25,0,0,12.17
24.04.09,39,19,66,23,0,0,13.03
25.04.09,40,24,47,32,0,0,13.47
26.04.09,40,20,77,31,0,0,13.03
27.04.09,41,21,82,25,0,0,11.3
28.04.09,42,20,82,27,0,0,13.03
29.04.09,43,23,55,26,0,0,10.43
30.04.09,44,27,70,19,0,0,11.75
Average,44,17,83,17,2.1,1,10.19
1.05.09,44,25,71,20,0,0,13.47
2.05.09,44,27,83,22,0,0,13.9
3.05.09,42,26,71,23,0,0,13.03
4.05.09,43,27,85,23,0,0,11.3
5.05.09,41,25,62,22,0,0,12.17
6.05.09,41,27,66,23,0,0,13.03
7.05.09,41,25,73,27,0,0,11.75
8.05.09,42,26,69,23,0,0,14.77
9.05.09,40,27,65,20,0,0,15.64
10.05.09,42,24,70,18,0,0,15.21
11.05.09,42,26,78,23,0,0,16.08
12.05.09,43,27,65,22,0,0,12.6
13.05.09,42,27,64,26,0,0,12.17
14.05.09,41,25,77,27,7.6,1,4.34
15.05.09,39,23,74,27,0,0,10.86
16.05.09,45,26,77,31,0,0,12.17
17.05.09,41,25,82,33,6.4,1,4.34
18.05.09,41,25,88,22,0,0,8.26
19.05.09,42,25,71,27,0,0,11.3
20.05.09,42,25,63,23,0,0,10.43
21.05.09,40,25,58,27,0,0,12.6
22.05.09,42,26,69,23,0,0,13.03
23.05.09,43,29,88,18,0,0,12.17
24.05.09,41,23,85,20,0,0,13.9
25.05.09,42,27,88,27,0,0,13.03
26.05.09,42,26,85,26,0,0,14.34
27.05.09,42,27,67,27,0,0,15.21
28.05.09,42,27,78,23,0,0,14.34
29.05.09,43,29,76,27,0,0,14.77
30.05.09,41,29,79,46,0,0,14.77
31.05.09,40,28,79,45,0,0,13.47
Average,45,23,88,18,14,2,12.53
1.06.09,40,27,65,44,0,0,12.6
2.06.09,37,25,84,52,8.8,1,13.03
3.06.09,38,26,81,44,0,0,10.86
4.06.09,39,30,83,45,0,0,15.21
5.06.09,40,30,83,27,6.2,1,8.69
6.06.09,43,23,67,23,0,0,13.03
7.06.09,43,29,49,26,0,0,13.03
8.06.09,41,28,51,27,0,0,13.03
9.06.09,41,27,46,27,0,0,14.77
10.06.09,41,28,69,26,0,0,15.21
11.06.09,42,28,62,27,0,0,13.9
12.06.09,40,30,69,27,18,1,11.91
13.06.09,32,29,77,31,0,0,9.56
14.06.09,38,27,62,36,0,0,8.69
15.06.09,37,26,71,37,6.8,1,2.45
16.06.09,40,24,76,31,0,0,9.5
17.06.09,39,26,53,27,0,0,10.43
18.06.09,40,27,74,27,0,0,13.03
19.06.09,42,28,83,23,0,0,12.17
20.06.09,42,31,48,25,0,0,13.9
21.06.09,42,28,66,29,0,0,11.3
22.06.09,41,29,66,27,0,0,13.03
23.06.09,40,27,67,25,0,0,14.77
24.06.09,40,28,67,44,0,0,9.56
25.06.09,39,29,79,27,22,1,6.34
26.06.09,37,24,92,33,27.2,1,20.24
27.06.09,32,23,88,30,14.4,1,10.92
28.06.09,32,26,90,31,0,0,9.56
29.06.09,30,25,95,47,13,1,9.09
30.06.09,32,26,90,47,0,0,8.69
Average,43,23,95,23,116.4,8,11.62
1.07.09,34,27,95,49,21.2,1,3.8
2.07.09,34,24,92,83,0,0,3.04
3.07.09,32,25,92,59,0,0,4.34
4.07.09,34,26,92,47,6.4,1,4.66
5.07.09,33,26,76,44,7.6,1,4.99
6.07.09,32,26,98,64,0,1,4.34
7.07.09,32,26,89,61,2,1,2.61
8.07.09,33,25,87,44,10.2,1,4.11
9.07.09,31,24,85,64,0,0,3.04
10.07.09,27,25,93,64,6.2,1,2.61
11.07.09,30,25,92,69,0,0,7.83
12.07.09,31,26,87,73,0,0,8.69
13.07.09,32,26,92,71,9.2,1,3.11
14.07.09,31,25,97,69,27.2,1,4.58
15.07.09,29,25,100,95,9.2,1,3.11
16.07.09,31,25,97,70,0,0,2.61
17.07.09,26,24,87,82,0,0,3.04
18.07.09,29,25,96,71,13.2,1,4.5
19.07.09,30,25,95,71,5.8,1,3.19
20.07.09,29,25,96,88,32.8,1,3.22
21.07.09,26,25,96,100,63.6,1,0
22.07.09,26,24,85,100,100.2,1,0
23.07.09,25,24,96,70,0,0,4.78
24.07.09,28,24,87,71,0,0,6.09
25.07.09,30,25,92,77,0,0,1.74
26.07.09,33,25,96,87,1.6,1,0.39
27.07.09,27,25,95,88,5,1,3.04
28.07.09,27,24,87,87,8.2,1,2.11
29.07.09,26,25,96,100,0,0,2.61
30.07.09,28,25,92,84,0,0,3.48
31.07.09,29,25,92,83,0,0,3.48
Average,34,24,100,44,329.6,18,3.52
01.08.09,29,25,93,71,0,0,3.48
02.08.09,29,25,92,79,0,0,3.48
03.08.09,29,25,92,71,0,0,3.09
04.08.09,29,24,98,76,0,0,3.91
05.08.09,30,24,92,71,0,0,4.78
06.08.09,30,25,97,69,0,0,4.78
07.08.09,29,25,92,71,0,0,6.96
08.08.09,30,24,92,75,0,0,6.09
09.08.09,31,25,97,76,0,0,5.65
10.08.09,31,25,92,71,0,0,3.48
11.08.09,29,26,100,89,5.8,1,3.91
12.08.09,29,26,100,87,11.6,1,2.03
13.08.09,27,25,95,100,50.6,1,3.62
14.08.09,24,24,95,100,28.2,1,3.84
15.08.09,25,24,100,87,2.6,1,0.86
16.08.09,25,24,96,77,0,0,1.74
17.08.09,27,24,91,71,0,0,4.78
18.08.09,30,24,92,71,0,0,5.22
19.08.09,32,25,92,67,0,0,14.34
20.08.09,32,25,87,71,0,0,5.22
21.08.09,32,25,87,73,0,0,5.65
22.08.09,33,27,97,71,0,0,4.78
23.08.09,32,25,87,69,0,0,4.39
24.08.09,32,25,95,65,6.6,1,3.12
25.08.09,32,24,92,90,37.2,1,6.75
26.08.09,30,23,98,84,6,1,2.56
27.08.09,29,24,95,89,70.6,1,0
28.08.09,29,24,98,100,45.4,1,1.9
29.08.09,25,24,100,92,10.6,1,0.16
30.08.09,26,24,92,74,0,0,2.61
31.08.09,3,25,96,85,8.6,1,4.25
Average,33,23,100,65,283.8,12,4.11
01.09.09,3,25,100,71,35.2,1,5.62
02.09.09,30,25,100,100,57.8,1,0
03.09.09,28,24,95,89,6.2,1,3.59
04.09.09,29,24,96,84,0,0,4.34
05.09.09,30,24,95,100,8.2,1,4.72
06.09.09,29,24,95,83,0,0,2.61
07.09.09,31,24,95,66,0,0,3.48
08.09.09,31,24,92,82,78,1,0
09.09.09,29,24,96,100,32,1,4.54
10.09.09,24,23,91,85,0,0,4.34
11.09.09,27,24,92,85,0,0,3.04
12.09.09,29,24,91,83,0,0,2.61
13.09.09,31,24,87,75,0,0,3.48
14.09.09,32,24,92,76,0,0,4.34
15.09.09,32,23,91,73,0,0,5.22
16.09.09,31,22,91,66,0,0,4.34
17.09.09,32,24,92,76,0,0,5.22
18.09.09,32,23,96,67,0,0,5.22
19.09.09,32,23,87,77,0,0,4.78
20.09.09,33,24,92,68,0,0,3.48
21.09.09,34,24,96,69,0,0,5.22
22.09.09,33,24,92,66,0,0,6.09
23.09.09,34,24,87,57,0,0,5.2
24.09.09,35,23,88,57,0,0,3.48
25.09.09,35,23,91,39,0,0,4.34
26.09.09,34,24,96,60,0,0,3.91
27.09.09,35,24,87,59,0,0,5.2
28.09.09,34,24,96,59,0,0,4.34
29.09.09,33,25,92,66,0,0,3.48
30.09.09,33,24,87,57,0,0,3.48
Average,35,22,100,39,217.4,6,3.99
01.10.09,34,24,87,66,0,0,4.78
02.10.09,33,24,92,59,0,0,4.34
03.10.09,32,25,95,82,0,0,5.22
04.10.09,32,25,95,66,17.6,1,8.9
05.10.09,31,25,95,100,77.4,1,22.59
06.10.09,27,24,95,85,4.4,1,0.52
07.10.09,33,23,91,82,0,0,6.09
08.10.09,31,23,91,66,0,0,3.48
09.10.09,30,21,82,57,0,0,4.34
10.10.09,31,24,75,67,0,0,3.48
11.10.09,31,20,82,44,0,0,4.34
12.10.09,31,20,88,52,0,0,3.04
13.10.09,31,20,83,59,0,0,3.91
14.10.09,33,20,96,56,0,0,3.48
15.10.09,33,20,78,66,0,0,4.34
16.10.09,35,22,75,56,0,0,5.22
17.10.09,33,20,91,44,0,0,3.48
18.10.09,32,18,82,49,0,0,4.34
19.10.09,32,18,77,50,0,0,5.22
20.10.09,33,19,87,52,0,0,6.09
21.10.09,32,16,84,44,0,0,4.78
22.10.09,33,16,90,57,0,0,3.48
23.10.09,31,15,94,57,0,0,3.48
24.10.09,31,14,84,52,0,0,3.91
25.10.09,32,14,90,44,0,0,4.34
26.10.09,32,12,62,64,0,0,3.48
27.10.09,30,14,91,50,0,0,4.78
28.10.09,31,14,89,57,0,0,4.34
29.10.09,31,15,89,66,0,0,5.22
30.10.09,31,13,89,60,0,0,4.34
31.10.09,32,13,93,56,0,0,3.04
Average,35,12,96,44,99.4,3,4.92
01.11.09,32,14,74,36,0,0,3.91
02.11.09,32,15,83,50,0,0,4.34
03.11.09,33,15,80,66,0,0,3.91
04.11.09,31,14,93,65,0,0,3.04
05.11.09,30,15,83,54,0,0,4.34
06.11.09,30,17,83,50,0,0,3.91
07.11.09,30,18,90,56,0,0,3.91
08.11.09,30,18,96,65,0,0,3.04
09.11.09,30,19,77,84,0,0,3.04
10.11.09,26,22,91,92,4.2,1,0.87
11.11.09,23,20,94,92,23.6,1,3.59
12.11.09,24,20,100,74,14.2,1,2.02
13.11.09,23,19,100,65,18.2,1,1.67
14.11.09,24,23,91,66,0,0,3.91
15.11.09,28,22,95,77,11.2,1,2.5
16.11.09,28,22,95,100,22.9,1,2.89
17.11.09,21,19,95,82,0,0,3.48
18.11.09,24,16,98,84,0,0,0.87
19.11.09,28,18,95,74,0,0,3.48
20.11.09,24,13,89,64,0,0,3.04
21.11.09,24,11,88,53,0,0,2.61
22.11.09,23,10,81,50,0,0,3.04
23.11.09,24,10,84,64,0,0,2.61
24.11.09,25,11,84,56,0,0,3.48
25.11.09,26,13,89,77,0,0,4.34
26.11.09,27,14,83,78,0,0,3.91
27.11.09,28,13,91,77,0,0,3.48
28.11.09,27,13,88,85,0,0,2.61
29.11.09,27,12,84,87,0,0,3.48
30.11.09,26,12,82,69,0,0,3.48
Average,33,10,100,36,94.3,6,3.16
01.12.09,26,11,77,70,0,0,3.04
02.12.09,26,11,78,70,0,0,3.48
03.12.09,27,12,88,77,0,0,2.61
04.12.09,27,12,88,69,0,0,3.04
05.12.09,27,12,82,70,0,0,3.91
06.12.09,27,14,89,77,0,0,2.61
07.12.09,28,15,83,66,0,0,3.48
08.12.09,30,16,83,77,0,0,2.61
09.12.09,28,17,90,78,0,0,2.61
10.12.09,29,17,90,66,0,0,2.61
11.12.09,28,16,90,78,0,0,2.61
12.12.09,28,12,90,77,0,0,3.48
13.12.09,27,14,83,66,0,0,3.04
14.12.09,27,16,74,77,0,0,3.04
15.12.09,28,16,93,66,0,0,2.61
16.12.09,28,16,83,87,6.2,1,2.61
17.12.09,28,17,90,87,37.6,1,2.8
18.12.09,20,16,100,66,0,0,2.61
19.12.09,24,16,94,76,0,0,2.17
20.12.09,23,16,89,67,0,0,2.61
21.12.09,25,16,96,64,0,0,2.17
22.12.09,24,9.7,95,64,0,0,2.61
23.12.09,21,8.8,95,45,0,0,2.61
24.12.09,25.6,10.4,90,45,0,0,2.17
25.12.09,23.8,11.8,94,51,0,0,2.17
26.12.09,24.7,11.7,95,48,0,0,2.17
27.12.09,26.2,10.4,98,45,0,0,2.17
28.12.09,24.4,12.4,87,56,0,0,21.7
29.12.09,26.2,13.1,89,49,0,0,2.61
30.12.09,24.5,18.2,93,70,0,0,1.3
31.12.09,20.3,13.3,97,67,0,0,2.17
Average,30,8.8,100,45,43.8,2,3.27
