Date,Max.,Min.,Morn,Eve,Rain,Rainy Days ,PE,Year
26.03.20,31.0,18.0,78.0,49.0,0.5,1.0,5.64,1996
27.03.20,31.0,20.0,78.0,49.0,0.0,0.0,5.21,1996
28.03.20,31.0,17.5,78.0,49.0,8.0,1.0,0.0,1996
29.03.20,31.0,17.0,78.0,49.0,0.0,0.0,5.21,1996
30.03.20,31.0,18.0,78.0,49.0,0.0,0.0,5.64,1996
31.03.20,31.0,17.5,78.0,49.0,0.0,0.0,6.08,1996
01.04.20,31.0,18.0,78.0,49.0,0.0,0.0,6.94,1996
02.04.20,31.0,15.0,78.0,49.0,0.0,0.0,6.08,1996
03.04.20,31.0,17.0,78.0,49.0,0.0,0.0,7.81,1996
04.04.20,31.0,19.0,78.0,49.0,0.0,0.0,6.08,1996
05.04.20,31.0,17.0,78.0,49.0,0.0,0.0,7.81,1996
06.04.20,31.0,17.0,78.0,49.0,0.0,0.0,6.51,1996
07.04.20,31.0,18.0,78.0,49.0,0.0,0.0,5.64,1996
08.04.20,31.0,17.0,78.0,49.0,0.0,0.0,6.94,1996
09.04.20,31.0,17.5,78.0,49.0,0.0,0.0,7.38,1996
10.04.20,31.0,19.5,78.0,49.0,0.0,0.0,6.94,1996
11.04.20,31.0,19.0,78.0,49.0,0.0,0.0,7.38,1996
12.04.20,31.0,18.0,78.0,49.0,0.0,0.0,6.08,1996
13.04.20,31.0,18.5,78.0,49.0,0.0,0.0,6.94,1996
14.04.20,31.0,19.0,78.0,49.0,0.0,0.0,6.94,1996
15.04.20,31.0,21.5,78.0,49.0,0.0,0.0,5.21,1996
16.04.20,31.0,21.5,78.0,49.0,0.0,0.0,7.81,1996
17.04.20,31.0,22.0,78.0,49.0,0.0,0.0,8.25,1996
18.04.20,31.0,23.0,78.0,49.0,0.0,0.0,5.21,1996
19.04.20,31.0,21.5,78.0,49.0,2.8,1.0,3.04,1996
20.04.20,31.0,21.5,78.0,49.0,0.0,0.0,7.38,1996
21.04.20,31.0,18.0,78.0,49.0,0.0,0.0,7.81,1996
22.04.20,31.0,19.5,78.0,49.0,0.0,0.0,8.25,1996
23.04.20,31.0,21.0,78.0,49.0,0.0,0.0,9.55,1996
24.04.20,31.0,21.5,78.0,49.0,0.0,0.0,8.68,1996
25.04.20,31.0,20.5,78.0,49.0,0.0,0.0,8.68,1996
26.04.20,31.0,22.0,78.0,49.0,0.0,0.0,9.11,1996
27.04.20,31.0,24.0,78.0,49.0,0.0,0.0,9.55,1996
28.04.20,31.0,22.0,78.0,49.0,0.0,0.0,9.55,1996
29.04.20,31.0,20.5,78.0,49.0,0.0,0.0,8.68,1996
30.04.20,41.0,22.0,78.0,49.0,0.0,0.0,6.94,1996
1.05.20,42.0,22.5,78.0,49.0,0.0,0.0,7.38,1996
2.05.20,43.0,23.0,78.0,49.0,0.0,0.0,9.11,1996
3.05.20,42.5,23.0,78.0,49.0,0.0,0.0,9.11,1996
4.05.20,43.0,23.0,78.0,49.0,0.0,0.0,9.98,1996
5.05.20,42.0,22.0,78.0,49.0,0.0,0.0,9.55,1996
6.05.20,43.0,23.0,78.0,49.0,0.0,0.0,9.98,1996
7.05.20,43.5,21.0,78.0,49.0,1.3,1.0,8.68,1996
8.05.20,44.0,24.5,78.0,49.0,0.0,0.0,9.98,1996
9.05.20,43.5,24.5,78.0,49.0,0.0,0.0,10.42,1996
10.05.20,41.5,26.0,78.0,49.0,0.0,0.0,11.28,1996
11.05.20,38.0,22.0,78.0,49.0,1.5,1.0,9.98,1996
12.05.20,39.0,25.0,78.0,49.0,0.0,0.0,9.55,1996
13.05.20,41.0,26.0,78.0,49.0,0.0,0.0,9.11,1996
14.05.20,41.5,24.5,78.0,49.0,0.0,0.0,7.38,1996
15.05.20,4.0,25.5,78.0,49.0,0.0,0.0,10.85,1996
16.05.20,42.0,24.5,78.0,49.0,0.0,0.0,9.11,1996
17.05.20,42.0,24.0,78.0,49.0,0.0,0.0,8.25,1996
18.05.20,42.5,23.5,78.0,49.0,0.0,0.0,7.81,1996
19.05.20,41.0,21.5,78.0,49.0,0.0,0.0,9.55,1996
20.05.20,43.0,21.0,78.0,49.0,0.0,0.0,9.98,1996
21.05.20,43.5,19.5,78.0,49.0,0.0,0.0,10.42,1996
01.01.09,26.0,11.0,87.0,61.0,0.0,0.0,2.61,2009
02.01.09,24.0,11.0,86.0,72.0,0.0,0.0,3.04,2009
3.01.09,22.0,11.0,78.0,72.0,0.0,0.0,2.61,2009
4.01.09,26.0,12.0,93.0,68.0,0.0,0.0,2.17,2009
5.01.09,26.0,13.0,88.0,57.0,0.0,0.0,2.61,2009
6.01.09,24.0,12.0,90.0,72.0,0.0,0.0,1.74,2009
7.01.09,23.0,12.0,73.0,67.0,0.0,0.0,2.61,2009
8.01.09,19.0,13.0,89.0,80.0,6.0,1.0,1.65,2009
9.01.09,17.0,15.0,100.0,78.0,0.0,0.0,0.87,2009
10.01.09,22.0,16.0,96.0,85.0,0.0,0.0,0.87,2009
11.01.09,20.0,15.0,83.0,91.0,0.0,0.0,1.74,2009
12.01.09,19.0,15.0,89.0,83.0,0.0,0.0,2.17,2009
13.01.09,23.0,15.0,100.0,77.0,0.0,0.0,1.74,2009
14.01.09,26.0,16.0,89.0,73.0,0.0,0.0,2.61,2009
15.01.09,27.0,16.0,84.0,78.0,0.0,0.0,3.48,2009
16.01.09,28.0,17.0,89.0,75.0,0.0,0.0,2.17,2009
17.01.09,26.0,14.0,89.0,73.0,0.0,0.0,3.04,2009
18.01.09,27.0,13.0,95.0,70.0,0.0,0.0,2.61,2009
19.01.09,27.0,14.0,93.0,73.0,0.0,0.0,3.04,2009
20.01.09,28.0,15.0,95.0,73.0,0.0,0.0,3.04,2009
21.01.09,27.0,12.0,88.0,77.0,0.0,0.0,3.04,2009
22.01.09,26.0,11.0,92.0,61.0,0.0,0.0,3.48,2009
23.01.09,23.0,10.0,92.0,68.0,0.0,0.0,3.91,2009
24.01.09,26.0,11.0,95.0,70.0,0.0,0.0,2.17,2009
25.01.09,25.0,12.0,89.0,77.0,0.0,0.0,2.61,2009
26.01.09,29.0,13.0,82.0,73.0,0.0,0.0,3.04,2009
27.01.09,28.0,13.0,93.0,60.0,0.0,0.0,3.04,2009
28.01.09,27.0,12.0,93.0,77.0,0.0,0.0,3.48,2009
29.01.09,26.0,13.0,88.0,70.0,0.0,0.0,3.48,2009
30.01.09,27.0,14.0,89.0,73.0,0.0,0.0,3.04,2009
31.01.09,29.0,13.0,88.0,77.0,0.0,0.0,3.48,2009
1.02.09,26.0,11.0,88.0,76.0,0.0,0.0,2.61,2009
2.02.09,24.0,10.0,87.0,59.0,0.0,0.0,4.34,2009
3.02.09,26.0,10.0,92.0,77.0,0.0,0.0,3.48,2009
4.02.09,27.0,10.0,77.0,70.0,0.0,0.0,3.04,2009
5.02.09,27.0,12.0,88.0,69.0,0.0,0.0,3.48,2009
6.02.09,27.0,10.0,87.0,76.0,0.0,0.0,4.34,2009
7.02.09,28.0,11.0,88.0,75.0,0.0,0.0,4.34,2009
8.02.09,28.0,12.0,78.0,54.0,0.0,0.0,3.91,2009
9.02.09,27.0,12.0,85.0,70.0,0.0,0.0,3.04,2009
10.02.09,29.0,13.0,88.0,73.0,0.0,0.0,3.48,2009
11.02.09,27.0,12.0,88.0,76.0,0.0,0.0,3.48,2009
12.02.09,25.0,10.0,80.0,33.0,0.0,0.0,3.04,2009
13.02.09,24.0,8.0,80.0,44.0,0.0,0.0,3.48,2009
14.02.09,26.0,9.0,92.0,73.0,0.0,0.0,3.04,2009
15.02.09,28.0,9.0,88.0,71.0,0.0,0.0,4.34,2009
16.02.09,29.0,13.0,71.0,65.0,0.0,0.0,3.91,2009
17.02.09,29.0,14.0,89.0,65.0,0.0,0.0,4.34,2009
18.02.09,29.0,15.0,89.0,66.0,0.0,0.0,3.91,2009
19.02.09,28.0,14.0,78.0,70.0,0.0,0.0,4.78,2009
20.02.09,27.0,14.0,84.0,65.0,0.0,0.0,4.34,2009
21.02.09,29.0,13.0,84.0,52.0,0.0,0.0,4.78,2009
22.02.09,29.0,14.0,89.0,60.0,0.0,0.0,5.22,2009
23.02.09,31.0,14.0,89.0,54.0,0.0,0.0,5.65,2009
24.02.09,31.0,15.0,74.0,59.0,0.0,0.0,3.91,2009
25.02.09,32.0,16.0,93.0,53.0,0.0,0.0,3.91,2009
26.02.09,33.0,14.0,83.0,53.0,0.0,0.0,5.2,2009
27.02.09,33.0,16.0,94.0,65.0,0.0,0.0,4.34,2009
28.02.09,32.0,14.0,83.0,50.0,0.0,0.0,4.34,2009
1.03.09,32.0,14.0,83.0,53.0,0.0,0.0,4.34,2009
2.03.09,32.0,15.0,89.0,55.0,0.0,0.0,5.22,2009
3.03.09,36.0,14.0,89.0,41.0,0.0,0.0,5.65,2009
4.03.09,36.0,15.0,80.0,57.0,0.0,0.0,4.78,2009
5.03.09,35.0,14.0,74.0,42.0,0.0,0.0,6.09,2009
6.03.09,35.0,13.0,95.0,43.0,0.0,0.0,6.09,2009
7.03.09,36.0,15.0,93.0,35.0,0.0,0.0,6.09,2009
8.03.09,34.0,14.0,91.0,57.0,0.0,0.0,6.09,2009
9.03.09,34.0,15.0,80.0,41.0,0.0,0.0,5.65,2009
10.03.09,34.0,16.0,98.0,51.0,0.0,0.0,5.22,2009
11.03.09,33.0,17.0,94.0,51.0,0.0,0.0,6.09,2009
12.03.09,34.0,15.0,85.0,53.0,0.0,0.0,5.22,2009
13.03.09,3.0,15.0,89.0,51.0,0.0,0.0,6.96,2009
14.03.09,34.0,17.0,66.0,57.0,0.0,0.0,5.2,2009
15.03.09,30.0,18.0,92.0,53.0,0.0,0.0,5.65,2009
16.03.09,33.0,16.0,94.0,37.0,0.0,0.0,6.52,2009
17.03.09,35.0,13.0,92.0,43.0,0.0,0.0,5.22,2009
18.03.09,35.0,15.0,83.0,47.0,0.0,0.0,6.96,2009
19.03.09,37.0,17.0,65.0,43.0,0.0,0.0,7.39,2009
20.03.09,36.0,19.0,91.0,42.0,0.0,0.0,7.83,2009
21.03.09,36.0,19.0,96.0,51.0,0.0,0.0,8.26,2009
22.03.09,34.0,18.0,90.0,57.0,0.0,0.0,8.69,2009
23.03.09,34.0,19.0,91.0,43.0,0.0,0.0,6.96,2009
24.03.09,36.0,19.0,75.0,42.0,0.0,0.0,7.83,2009
25.03.09,36.0,17.0,90.0,41.0,0.0,0.0,6.96,2009
26.03.09,37.0,17.0,70.0,47.0,0.0,0.0,7.39,2009
27.03.09,36.0,17.0,66.0,23.0,0.0,0.0,8.26,2009
28.03.09,37.0,18.0,51.0,27.0,0.0,0.0,8.69,2009
29.03.09,37.0,19.0,50.0,26.0,0.0,0.0,10.43,2009
30.03.09,38.0,20.0,69.0,32.0,0.0,0.0,8.26,2009
31.03.09,38.0,19.0,74.0,49.0,0.0,0.0,8.26,2009
1.04.09,37.0,18.0,70.0,39.0,0.0,0.0,8.96,2009
2.04.09,39.0,20.0,62.0,32.0,0.0,0.0,9.56,2009
3.04.09,39.0,19.0,57.0,39.0,0.0,0.0,7.83,2009
4.04.09,39.0,21.0,47.0,35.0,0.0,0.0,8.69,2009
5.04.09,39.0,18.0,69.0,29.0,0.0,0.0,10.43,2009
6.04.09,37.0,19.0,53.0,39.0,0.0,0.0,6.96,2009
7.04.09,38.0,18.0,75.0,51.0,2.1,1.0,7.39,2009
8.04.09,34.0,19.0,61.0,46.0,0.0,0.0,6.09,2009
9.04.09,36.0,17.0,76.0,39.0,0.0,0.0,7.39,2009
10.04.09,35.0,20.0,62.0,28.0,0.0,0.0,8.69,2009
11.04.09,36.0,17.0,57.0,34.0,0.0,0.0,9.56,2009
12.04.09,37.0,17.0,45.0,29.0,0.0,0.0,9.99,2009
13.04.09,39.0,19.0,44.0,26.0,0.0,0.0,9.56,2009
14.04.09,40.0,19.0,34.0,28.0,0.0,0.0,8.69,2009
15.04.09,41.0,23.0,65.0,30.0,0.0,0.0,10.43,2009
16.04.09,41.0,25.0,69.0,33.0,0.0,0.0,10.43,2009
17.04.09,42.0,24.0,76.0,29.0,0.0,0.0,11.73,2009
18.04.09,39.0,22.0,83.0,35.0,0.0,0.0,10.43,2009
19.04.09,40.0,19.0,52.0,38.0,0.0,0.0,11.3,2009
20.04.09,41.0,21.0,64.0,17.0,0.0,0.0,10.86,2009
21.04.09,42.0,24.0,73.0,25.0,0.0,0.0,11.73,2009
22.04.09,41.0,24.0,71.0,28.0,0.0,0.0,10.86,2009
23.04.09,42.0,20.0,67.0,25.0,0.0,0.0,12.17,2009
24.04.09,39.0,19.0,66.0,23.0,0.0,0.0,13.03,2009
25.04.09,40.0,24.0,47.0,32.0,0.0,0.0,13.47,2009
26.04.09,40.0,20.0,77.0,31.0,0.0,0.0,13.03,2009
27.04.09,41.0,21.0,82.0,25.0,0.0,0.0,11.3,2009
28.04.09,42.0,20.0,82.0,27.0,0.0,0.0,13.03,2009
29.04.09,43.0,23.0,55.0,26.0,0.0,0.0,10.43,2009
30.04.09,44.0,27.0,70.0,19.0,0.0,0.0,11.75,2009
1.05.09,44.0,25.0,71.0,20.0,0.0,0.0,13.47,2009
2.05.09,44.0,27.0,83.0,22.0,0.0,0.0,13.9,2009
3.05.09,42.0,26.0,71.0,23.0,0.0,0.0,13.03,2009
4.05.09,43.0,27.0,85.0,23.0,0.0,0.0,11.3,2009
5.05.09,41.0,25.0,62.0,22.0,0.0,0.0,12.17,2009
6.05.09,41.0,27.0,66.0,23.0,0.0,0.0,13.03,2009
7.05.09,41.0,25.0,73.0,27.0,0.0,0.0,11.75,2009
8.05.09,42.0,26.0,69.0,23.0,0.0,0.0,14.77,2009
9.05.09,40.0,27.0,65.0,20.0,0.0,0.0,15.64,2009
10.05.09,42.0,24.0,70.0,18.0,0.0,0.0,15.21,2009
11.05.09,42.0,26.0,78.0,23.0,0.0,0.0,16.08,2009
12.05.09,43.0,27.0,65.0,22.0,0.0,0.0,12.6,2009
13.05.09,42.0,27.0,64.0,26.0,0.0,0.0,12.17,2009
14.05.09,41.0,25.0,77.0,27.0,7.6,1.0,4.34,2009
15.05.09,39.0,23.0,74.0,27.0,0.0,0.0,10.86,2009
16.05.09,45.0,26.0,77.0,31.0,0.0,0.0,12.17,2009
17.05.09,41.0,25.0,82.0,33.0,6.4,1.0,4.34,2009
18.05.09,41.0,25.0,88.0,22.0,0.0,0.0,8.26,2009
19.05.09,42.0,25.0,71.0,27.0,0.0,0.0,11.3,2009
20.05.09,42.0,25.0,63.0,23.0,0.0,0.0,10.43,2009
21.05.09,40.0,25.0,58.0,27.0,0.0,0.0,12.6,2009
22.05.09,42.0,26.0,69.0,23.0,0.0,0.0,13.03,2009
23.05.09,43.0,29.0,88.0,18.0,0.0,0.0,12.17,2009
24.05.09,41.0,23.0,85.0,20.0,0.0,0.0,13.9,2009
25.05.09,42.0,27.0,88.0,27.0,0.0,0.0,13.03,2009
26.05.09,42.0,26.0,85.0,26.0,0.0,0.0,14.34,2009
27.05.09,42.0,27.0,67.0,27.0,0.0,0.0,15.21,2009
28.05.09,42.0,27.0,78.0,23.0,0.0,0.0,14.34,2009
29.05.09,43.0,29.0,76.0,27.0,0.0,0.0,14.77,2009
30.05.09,41.0,29.0,79.0,46.0,0.0,0.0,14.77,2009
31.05.09,40.0,28.0,79.0,45.0,0.0,0.0,13.47,2009
1.06.09,40.0,27.0,65.0,44.0,0.0,0.0,12.6,2009
2.06.09,37.0,25.0,84.0,52.0,8.8,1.0,13.03,2009
3.06.09,38.0,26.0,81.0,44.0,0.0,0.0,10.86,2009
4.06.09,39.0,30.0,83.0,45.0,0.0,0.0,15.21,2009
5.06.09,40.0,30.0,83.0,27.0,6.2,1.0,8.69,2009
6.06.09,43.0,23.0,67.0,23.0,0.0,0.0,13.03,2009
7.06.09,43.0,29.0,49.0,26.0,0.0,0.0,13.03,2009
8.06.09,41.0,28.0,51.0,27.0,0.0,0.0,13.03,2009
9.06.09,41.0,27.0,46.0,27.0,0.0,0.0,14.77,2009
10.06.09,41.0,28.0,69.0,26.0,0.0,0.0,15.21,2009
11.06.09,42.0,28.0,62.0,27.0,0.0,0.0,13.9,2009
12.06.09,40.0,30.0,69.0,27.0,18.0,1.0,11.91,2009
13.06.09,32.0,29.0,77.0,31.0,0.0,0.0,9.56,2009
14.06.09,38.0,27.0,62.0,36.0,0.0,0.0,8.69,2009
15.06.09,37.0,26.0,71.0,37.0,6.8,1.0,2.45,2009
16.06.09,40.0,24.0,76.0,31.0,0.0,0.0,9.5,2009
17.06.09,39.0,26.0,53.0,27.0,0.0,0.0,10.43,2009
18.06.09,40.0,27.0,74.0,27.0,0.0,0.0,13.03,2009
19.06.09,42.0,28.0,83.0,23.0,0.0,0.0,12.17,2009
20.06.09,42.0,31.0,48.0,25.0,0.0,0.0,13.9,2009
21.06.09,42.0,28.0,66.0,29.0,0.0,0.0,11.3,2009
22.06.09,41.0,29.0,66.0,27.0,0.0,0.0,13.03,2009
23.06.09,40.0,27.0,67.0,25.0,0.0,0.0,14.77,2009
24.06.09,40.0,28.0,67.0,44.0,0.0,0.0,9.56,2009
25.06.09,39.0,29.0,79.0,27.0,22.0,1.0,6.34,2009
26.06.09,37.0,24.0,92.0,33.0,27.2,1.0,20.24,2009
27.06.09,32.0,23.0,88.0,30.0,14.4,1.0,10.92,2009
28.06.09,32.0,26.0,90.0,31.0,0.0,0.0,9.56,2009
29.06.09,30.0,25.0,95.0,47.0,13.0,1.0,9.09,2009
30.06.09,32.0,26.0,90.0,47.0,0.0,0.0,8.69,2009
1.07.09,34.0,27.0,95.0,49.0,21.2,1.0,3.8,2009
2.07.09,34.0,24.0,92.0,83.0,0.0,0.0,3.04,2009
3.07.09,32.0,25.0,92.0,59.0,0.0,0.0,4.34,2009
4.07.09,34.0,26.0,92.0,47.0,6.4,1.0,4.66,2009
5.07.09,33.0,26.0,76.0,44.0,7.6,1.0,4.99,2009
6.07.09,32.0,26.0,98.0,64.0,0.0,1.0,4.34,2009
7.07.09,32.0,26.0,89.0,61.0,2.0,1.0,2.61,2009
8.07.09,33.0,25.0,87.0,44.0,10.2,1.0,4.11,2009
9.07.09,31.0,24.0,85.0,64.0,0.0,0.0,3.04,2009
10.07.09,27.0,25.0,93.0,64.0,6.2,1.0,2.61,2009
11.07.09,30.0,25.0,92.0,69.0,0.0,0.0,7.83,2009
12.07.09,31.0,26.0,87.0,73.0,0.0,0.0,8.69,2009
13.07.09,32.0,26.0,92.0,71.0,9.2,1.0,3.11,2009
14.07.09,31.0,25.0,97.0,69.0,27.2,1.0,4.58,2009
15.07.09,29.0,25.0,100.0,95.0,9.2,1.0,3.11,2009
16.07.09,31.0,25.0,97.0,70.0,0.0,0.0,2.61,2009
17.07.09,26.0,24.0,87.0,82.0,0.0,0.0,3.04,2009
18.07.09,29.0,25.0,96.0,71.0,13.2,1.0,4.5,2009
19.07.09,30.0,25.0,95.0,71.0,5.8,1.0,3.19,2009
20.07.09,29.0,25.0,96.0,88.0,32.8,1.0,3.22,2009
21.07.09,26.0,25.0,96.0,100.0,63.6,1.0,0.0,2009
22.07.09,26.0,24.0,85.0,100.0,100.2,1.0,0.0,2009
23.07.09,25.0,24.0,96.0,70.0,0.0,0.0,4.78,2009
24.07.09,28.0,24.0,87.0,71.0,0.0,0.0,6.09,2009
25.07.09,30.0,25.0,92.0,77.0,0.0,0.0,1.74,2009
26.07.09,33.0,25.0,96.0,87.0,1.6,1.0,0.39,2009
27.07.09,27.0,25.0,95.0,88.0,5.0,1.0,3.04,2009
28.07.09,27.0,24.0,87.0,87.0,8.2,1.0,2.11,2009
29.07.09,26.0,25.0,96.0,100.0,0.0,0.0,2.61,2009
30.07.09,28.0,25.0,92.0,84.0,0.0,0.0,3.48,2009
31.07.09,29.0,25.0,92.0,83.0,0.0,0.0,3.48,2009
01.08.09,29.0,25.0,93.0,71.0,0.0,0.0,3.48,2009
02.08.09,29.0,25.0,92.0,79.0,0.0,0.0,3.48,2009
03.08.09,29.0,25.0,92.0,71.0,0.0,0.0,3.09,2009
04.08.09,29.0,24.0,98.0,76.0,0.0,0.0,3.91,2009
05.08.09,30.0,24.0,92.0,71.0,0.0,0.0,4.78,2009
06.08.09,30.0,25.0,97.0,69.0,0.0,0.0,4.78,2009
07.08.09,29.0,25.0,92.0,71.0,0.0,0.0,6.96,2009
08.08.09,30.0,24.0,92.0,75.0,0.0,0.0,6.09,2009
09.08.09,31.0,25.0,97.0,76.0,0.0,0.0,5.65,2009
10.08.09,31.0,25.0,92.0,71.0,0.0,0.0,3.48,2009
11.08.09,29.0,26.0,100.0,89.0,5.8,1.0,3.91,2009
12.08.09,29.0,26.0,100.0,87.0,11.6,1.0,2.03,2009
13.08.09,27.0,25.0,95.0,100.0,50.6,1.0,3.62,2009
14.08.09,24.0,24.0,95.0,100.0,28.2,1.0,3.84,2009
15.08.09,25.0,24.0,100.0,87.0,2.6,1.0,0.86,2009
16.08.09,25.0,24.0,96.0,77.0,0.0,0.0,1.74,2009
17.08.09,27.0,24.0,91.0,71.0,0.0,0.0,4.78,2009
18.08.09,30.0,24.0,92.0,71.0,0.0,0.0,5.22,2009
19.08.09,32.0,25.0,92.0,67.0,0.0,0.0,14.34,2009
20.08.09,32.0,25.0,87.0,71.0,0.0,0.0,5.22,2009
21.08.09,32.0,25.0,87.0,73.0,0.0,0.0,5.65,2009
